Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liechtenstein,LIE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lithuania,LTU,0.506025
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Luxembourg,LUX,0.855511
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Macao SAR, China",MAC,4.67065475274328
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Madagascar,MDG,1229.32981409516
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malawi,MWI,382.276491678728
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malaysia,MYS,1.42505898097785
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Maldives,MDV,7.79468299354335
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mali,MLI,198.393517980443
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malta,MLT,0.590611605815723
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Marshall Islands,MHL,0.886641984792284
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritania,MRT,11.1409315789782
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritius,MUS,17.8132300485792
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mexico,MEX,9.888037
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Micronesia, Fed. Sts.",FSM,0.946806210921461
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Moldova,MDA,6.94626629149713
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Monaco,MCO,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mongolia,MNG,1123.87249557112
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Montenegro,MNE,0.365897321309507
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Morocco,MAR,3.88255216894554
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mozambique,MOZ,23.7231957049634
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Myanmar,MMR,435.000427057019
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Namibia,NAM,6.85561514941412
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nauru,NRU,1.39457700706714
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nepal,NPL,33.3945919991419
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Netherlands,NLD,0.764616
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Caledonia,NCL,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Zealand,NZL,1.4701
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nicaragua,NIC,11.4589278696861
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Niger,NER,206.287025878039
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nigeria,NGA,165.722916169845
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North Macedonia,MKD,20.1883064969905
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Northern Mariana Islands,MNP,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Norway,NOR,9.226233
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Oman,OMN,0.194872289898959
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pakistan,PAK,56.1913681393929
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Palau,PLW,0.906895733161873
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Panama,PAN,0.469468516383161
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Papua New Guinea,PNG,2.29810324831541
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Paraguay,PRY,2611.63708069054
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Peru,PER,1.74387042414011
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Philippines,PHL,19.2623140452142
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Poland,POL,1.996096
